id,name,reducedfrom,Garey and Johnson Id,input,question,reference,tags,comment,wikilink,abbrev
0,Satisfiability,-1,[LO1],A set \(U\) of variable and a collection \(C\) of clauses over \(U\).,Is there a satisfying truth assignment for \(C\)?,"Cook, Stephen A. ""The complexity of theorem-proving procedures."" Proceedings of the third annual ACM symposium on Theory of computing. ACM, 1971.",LG,"Remains NP-complete even if each \(c \in C\) satisfies \(|c|=3\) (3-SAT), or if each \(|c| \leq 3\) and, for each \(u \in U\), there are at most three clauses in \(C\) that contain either \(u\) or \(\bar{u}\). Is solvable in polynomial time if each \(c \in C\) has fewer than two terms.  ",https://en.wikipedia.org/wiki/Satisfiability,SAT
1,3-Satisfiability,0,[LO2],"A set of \(m\) clauses - \(C_1 ,C_2,...,C_m\) - over a set of \(n\) Boolean valued variables \(X_n=\left\langle x_1,x_2,...,x_n\right\rangle\), such that each clause depends on exactly three distinct variables from \(X_n\). A clause being a Boolean expression of the form \(y_i+y_j+y_k\) where each \(y\) is of the form \(x\) or \(-x\) (i.e. negation of \(x\)) with \(x\) being some variable in \(X_n\). For example if \(n=4\) and \(m=3\) a possible instance could be the (set of) Boolean expressions: \(C_1=(x_1+(-x_2)+(-x_3))\); \(C_2=(x_2+x_3+(-x_4))\); \(C_3=((-x_1)+x_3+x_4)\). ","Can each variable \(x_i\) of \(X_n\) be assigned a boolean value \(\alpha_i\) in such a way that every clause evaluates to the boolean result true under the assignment \(\langle x_i:=\alpha_i:1\leq i\leq n \rangle\)? In the example instance, the assignment \(\langle x_1 := true, x_2 := false, x_3 := true, x_4 := false \rangle\) is such that each of the three clauses takes the value true.","Cook, Stephen A. ""The complexity of theorem-proving procedures."" Proceedings of the third annual ACM symposium on Theory of computing. ACM, 1971.",LG,"For reasons that will become clearer at the end of the course, this problem had to be Number 1. Some relevant material concerning this problem might be found in the special issue (Volume 81, 1996) of the journal Artificial Intelligence that is available in the Library.",https://en.wikipedia.org/wiki/Boolean_satisfiability_problem,3-SAT
2,Graph 3-Colourability,6,[GT4],"An \(n\)-node undirected graph \(G(V,E)\) with node set \(V\) and edge set \(E\). ","Can each node of \(G(V,E)\) be assigned exactly one of three colours - red, blue, green - in such a way that no two nodes which are joined by an edge, are assigned the same colour?","Karp, Richard M. ""Reducibility among combinatorial problems."" Complexity of computer computations. Springer, Boston, MA, 1972. 85-103.",GT,,https://en.wikipedia.org/wiki/Graph_coloring,3-COL
3,Monochromatic Triangle,1,[GT6],"An \(n\)-node undirected graph \(G(V,E)\) with node set \(V\) and edge set \(E\). ","Can the edges, \(E\), of \(G\) be partitioned into two disjoint sets \(E_1\) and \(E_2\), in such a way that neither of the two graphs \(G_1(V,E_1)\) or \(G_2(V,E_2)\) contains a triangle, i.e. a set of three distinct nodes \(u,v,w\) such that \(\{u,v\}, \{u,w\}, \{v,w\}\) are all edges?","Burr, Stefan A. 1976. P.C.",GT,,https://en.wikipedia.org/wiki/Monochromatic_triangle,MCT
4,Clique,6,[GT19],"An \(n\)-node undirected graph \(G(V,E)\) with node set \(V\) and edge set \(E\); a positive integer \(k\) with \(k \leq n\). ","Does \(G\) contain a \(k\)-clique, i.e. a subset \(W\) of the nodes \(V\) such that \(W\) has size \(k\) and for each distinct pair of nodes \(u, v\) in \(W\), \(\{u,v\}\) is an edge of \(G\)?","Karp, Richard M. ""Reducibility among combinatorial problems."" Complexity of computer computations. Springer, Boston, MA, 1972. 85-103.",GT,,https://en.wikipedia.org/wiki/Clique_(graph_theory),CLQ
5,Bipartite Subgraph,12,[GT25],"An \(n\)-node undirected graph \(G(V,E)\) with node set \(V\) and edge set \(E\); a positive integer \(k\) with \(k \leq |E|\).","Is there a subset, \(F\) of the edges of \(G\), having size at least \(k\) and such that the graph \(H(V,F)\) is bipartite?","Garey, Michael R., David S. Johnson, and Larry Stockmeyer. ""Some simplified NP-complete graph problems."" Theoretical computer science 1.3 (1976): 237-267.",GT,"G(V,E) is bipartite if the nodes can be partitioned into two disjoint sets U and W such that every edge of G connects a node in U to a node in W, i.e. no two nodes in U (resp. W) form an edge of G.",https://en.wikipedia.org/wiki/Bipartite_graph,BSG
6,Vertex Cover,1,[GT1],"An \(n\)-node undirected graph \(G(V,E)\) with node set \(V\) and edge set \(E\); a positive integer \(k\) with \(k\leq n\).","Is there a subset \(W\) of \(V\) having size at most \(k\) and such that for every edge \(\{u,v\}\) in \(E\) at least one of \(u\) and \(v\) belongs to \(W\)?","Karp, Richard M. ""Reducibility among combinatorial problems."" Complexity of computer computations. Springer, Boston, MA, 1972. 85-103.",GT,,https://en.wikipedia.org/wiki/Vertex_cover,VC
7,Chromatic Index (Edge Colouring) ,1,[GT66],"An \(n\)-node undirected graph \(G(V,E)\) with node set \(V\) and edge set \(E\); a positive integer \(k\) with \(k \leq |E|\).",Can the edges of \(G\) be assigned exactly one of \(k\) colours in such a way that no two edges which have a common node as an endpoint are assigned the same colour?,"Holyer, Ian. ""The NP-completeness of edge-coloring."" SIAM Journal on computing 10.4 (1981): 718-720.",GT,"Vizing's Theorem from graph theory shows that the only hard case for this problem is when \(k\) is equal to the maximum degree of \(G\). The degree of a node, \(v\), is the number of edges in the graph with \(v\) as an end-point; the degree of a graph is the maximum degree of any node in the graph. Chromatic Index was shown to be NP-complete soon after the 1979 edition of Garey and Johnson went to press, hence the OPEN categorisation. The classical paper on sequential methods is: A.M. Gibbons and O.A. Ogunyode: Optimal edge-colouring of almost all simple graphs in polynomial time. Random Graphs 1985: Conf. Record of 2nd International Seminar on Random Graphs and Probabilistic Methods in Combinatorics, Poznan, North-Holland, (1985). There are also a number of methods presenting efficient parallel algorithms for various special types of graph. Some of the ideas presented in these may be useful in formulating sequential techniques, e.g. A.M. Gibbons and W. Rytter: Optimally edge-colouring outerplanar graphs is in NC. Theoretical Computer Science, 71, (1990), pp. 401-411 A.M. Gibbons and W. Rytter: Fast parallel algorithms for optimal edge-colouring of some tree-structured graphs. Fundamentals of Computation Theory (FCT) 1987, Springer-Verlag, 1987 ",https://en.wikipedia.org/wiki/Edge_coloring,CI-EC
8,Multiprocessor Scheduling,41,[SS8],"A set, \(T\), of tasks and for each task \(t \in T\) a positive (integer) running time \(len(t)\). A positive integer \(D\), called the deadline.","Is there a 2-processor schedule for the tasks that completes within the deadline, \(D\), i.e. is there a function sigma: \(T\rightarrow N\) such that both of the following hold: \(\forall u \geq 0\) the number of tasks \(t \in T\) for which \(\sigma(t) \leq u <  \sigma(t)+len(t)\) is at most 2. For all tasks \(t\), \(\sigma(t)+len(t) \leq D\)? ","Garey, Michael R., and David S. Johnson. Computers and intractability. Vol. 29. New York: wh freeman, 2002.",SS,"This is the simplest avatar of a very large number of NP-complete processor scheduling problems and, unsurprisingly given its practical applications in multiprogramming Operating Systems on small parallel systems, there is an enormous range of literature on approximation and heuristic techniques to tackle it, see e.g. relevant sections of this bibliography. The formal framework given by (a) and (b) can be interpreted as meaning: a) at any given time at most two tasks are being executed; b) every task has been completed by the deadline \(D\).",,MPS
9,Comparative Divisibility,1,[AN4],"A (strictly increasing) sequence \(A=\langle a_1,a_2,...,a_n\rangle\) and a (strictly increasing) sequence \(B=\langle b_1,b_2,...,b_m\rangle\) of positive integers.","Is there an integer, \(c\), such that \(Divides(c,A) > Divides(c,B)\), where \(Divides(x,Y)\) (\(Y\) being a sequence of positive integers) is the number of elements, \(y \in Y\), for which \(x\) is an exact divisor of \(y\)?","Plaisted, David A. ""New NP-hard and NP-complete polynomial and integer divisibility problems."" Theoretical Computer Science 31.1-2 (1984): 125-138.",AN,"You may think that this has an obvious fast algorithm, and, indeed the algorithm in question is obvious: what it is not is efficient. Consider: how many bits are needed to store the input data (assuming, without loss of generality, that \(a_n \geq b_m\))? How many steps, however, is this `obvious method' taking in the worst-case? It is important to realise that representing integer values in unary is not considered to be a `reasonable' approach (the number 250-1 requires 250 digits in unary but only 50 digits in binary).",,CDV
